What objects that satisfy the following statement : (subject : Acetaldehyde | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Amitriptyline | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ammonium Nitrate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Arsenic Trioxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Aspartame | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Aspirin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Benzyl Alcohol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Biguanide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Biotin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Bismuth Subsalicylate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Borax | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Budipine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Calcium Carbonate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Calcium Peroxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Calomel | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cesium Fluoride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cesium Iodide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Chloric acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Chlorophyll D | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Codeine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Copper Hydride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cupric Sulfate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Cyclobutane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Decene | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Disilane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Docosane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Dodecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Droperidol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ethane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ethylidene Chloride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Eucalyptol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Formic acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Gallium Trichloride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Gluconolactone | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Glycerol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Guanine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Harmaline | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hexane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydrogen Bromide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydrogen Fluoride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydrogen Iodide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydrogen Peroxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Hydrogen Sulfide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Ibandronic acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Inositol Trisphosphate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Isocyanic acid | relation : ChemicalCompoundElement | objects : ?)
